factual_id,brand,name,size,category,upc,ean13,upc_e,ingredients,servings,serving_size,calories,fat_calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,potassium,total_carbs,dietary_fiber,sugars,protein,manufacturer,avgPrice,image_urls,userName
aad3c76d-e19f-473e-8bdd-73781893fe51,Maybelline,Dream Matte Mousse Foundation Caramel,,Face Makeup,7.42E+11,7.42E+11,,,,,,,,,,,,,,,,,L'Oréal Group,12.74,http://ecx.images-amazon.com/images/I/313C37Og9%2BL._SY300_.jpg,null
75130aaa-ea99-4616-aece-961d761c571b,L'Oreal,Paris Sublime Mousse Hair Color Pure Black 20,1 application,Hair Color,71249197295,71249197295,,Aqua/Water/Eau#Ethanolamine#Sorbitol#Coco-Betaine#Ammonium Hydroxide#Toluene-2#5-Diamine#Steareth-100#Sucrose#Resorcinol#4-Diaminophenoxyethanol Hcl#M-Aminophenol#Sodium Chloride#Sodium Metabisulfite#Peg-40 Hydrog,,,,,,,,,,,,,,,L'Oréal Group,7.22,http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/1/887101.jpg#http://ecx.images-amazon.com/images/I/512EuRUIJFL._AA300_.jpg#http://i.walmartimages.com/i/p/00/07/12/49/19/0007124919729_300X300.jpg#http://pics2.ds-static.com/prodimg/329378/300.JPG#http://static-resources.goodguide.net/images/entities/large/435594.jpg,null
57abca4d-77f7-4ac3-82f7-14123df0ab14,L'Oreal,Hip Studio Secrets Professional Color Truth Eyeliner Brown,0.045 oz; 1.29 g,Eye & Eyebrow Makeup,71249105627,71249105627,,Stearyl Dimethicone#Cera Microcristallina/Microcrystalline Wax#Magnesium Silicate#Aluminum Stearate#May Contain: Mica#Ci 77492#Ci 77499#Ci 77491#Iron Oxides#Ci77891#Titanium Dioxide#Ci77510#Ferric Ferrocyanide#Ci75470 Carmine#Fil B12683,,,,,,,,,,,,,,,L'Oréal Group,7.39,http://ecx.images-amazon.com/images/I/31xbbYTqxpL._AA300_.jpg#http://pics2.ds-static.com/prodimg/180379/300.jpg#http://static-resources.goodguide.net/images/entities/large/435435.jpg,null
c37ed2ef-0577-4be8-879d-c00beb1d15cd,Matrix,Matrix Curl Life Body Shaping Foam,2.8 oz,Hair Styling Aids,90174449798,90174449798,,,,,,,,,,,,,,,,,L'Oréal Group,6.99,http://cdn-x.stockngo.com/media/catalog/product/m/a/matrix-curl-life-defining-system-2.8oz-1.jpg#http://ecx.images-amazon.com/images/I/31yDbOEj5lL._SL500_AA300_.jpg,null
e039096c-c034-4fe5-836d-9676e401b24a,L'Oreal,Re-Cushioning Serum,1 fluid oz#1-fluid oz,Face Moisturizers,71249157763,71249157763,,,,,,,,,,,,,,,,,L'Oréal Group,12.3,http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/0/750430.jpg#http://ecx.images-amazon.com/images/I/21DJfQ6SkpL._SL500_AA300_.jpg#http://img01.static-nextag.com/image/L-Oreal-Paris-Age/1/000/006/471/191/647119173.jpg#http://media.itemmaster.com:80////0/0/0/780/7c1d2d44-7eef-46ab-a6a0-a79e4b032c6c.jpg?originalFormat=tga#http://static-resources.goodguide.net/images/entities/large/262759.jpg,null
f6ca6095-625e-46a7-ba78-9deb60f6a9a8,Maybelline,Liquid-to-Powder Makeup,0.35 oz; 9.9 g,Face Makeup,41554686616,41554686616,,Titanium Dioxide,,,,,,,,,,,,,,,L'Oréal Group,,http://static-resources.goodguide.net/images/entities/large/123654.jpg,null
05f93d74-503d-462b-bc31-97c4e349bc65,Lancôme,Le Lipstique Lip Colouring Stick With Brush Lilas Metallique,,Personal Care,96018227133,96018227133,,,,,,,,,,,,,,,,,L'Oréal Group,72,http://ak.buy.com/PI/0/250/221421917.jpg#http://ecx.images-amazon.com/images/I/21p9vIP70SL.jpg#http://www.parfumery.com/pictures/large/096018227133.jpg,null
84360464-cc17-42f2-8ba3-2c0fb2da91f8,Dermablend,Pro Face & Body Brush,,Eye & Eyebrow Makeup,8.83E+11,8.83E+11,,,,,,,,,,,,,,,,,L'Oréal Group,40,http://ak.buy.com/PI/0/250/232236859.jpg#http://ecx.images-amazon.com/images/I/21GalEYGPBL._SL500_AA300_.jpg#http://images.apothica.com/xl_images/Dermablend_Pro_Face_Body_Brush.jpg#http://images.skincarerx.com/xl_images/Dermablend_Pro_Face_Body_Brush.jpg#http://img01.static-nextag.com/image/Dermablend-Pro-Face-Body/1/000/008/800/256/880025631.jpg#http://pics2.ds-static.com/prodimg/359218/300.JPG,null
d3560b89-730d-42d2-b8a0-dd67d846e761,Artec,Textureline Control Fluid Polishing Smoothing Serum,4 oz,Hair Styling Aids,6.70E+11,6.70E+11,,,,,,,,,,,,,,,,,L'Oréal Group,12.3,http://ecx.images-amazon.com/images/I/41u-YpXYRiL._SL500_AA300_.jpg,null
2382889d-6447-4c64-83b8-3fc84760f9e3,Maybelline,Color Whisper Color Sensational Lip Color Mocha Muse,0.11 oz lb lb,,41554295146,41554295146,,,,,,,,,,,,,,,,,L'Oréal Group,,http://i.walmartimages.com/i/p/00/04/15/54/29/0004155429510_500X500.jpg#http://pics2.ds-static.com/prodimg/467289/300.JPG,null
